,Produto,Região,Dia,Mês,Ano,Unidade,Preço,Data,Aumento,Aceleracao
8014,Italiano - atacado,Campinas,2,1,2015,Caixa 20 kg,31.0,2015-01-02,,
8015,Italiano - atacado,Campinas,5,1,2015,Caixa 20 kg,32.5,2015-01-05,1.5,
8016,Italiano - atacado,Campinas,7,1,2015,Caixa 20 kg,41.67,2015-01-07,9.170000000000002,7.670000000000002
8017,Italiano - atacado,Campinas,9,1,2015,Caixa 20 kg,53.57,2015-01-09,11.899999999999999,2.729999999999997
8018,Italiano - atacado,Campinas,12,1,2015,Caixa 20 kg,51.67,2015-01-12,-1.8999999999999986,-13.799999999999997
8019,Italiano - atacado,Campinas,14,1,2015,Caixa 20 kg,50.0,2015-01-14,-1.6700000000000017,0.22999999999999687
8020,Italiano - atacado,Campinas,16,1,2015,Caixa 20 kg,39.0,2015-01-16,-11.0,-9.329999999999998
8021,Italiano - atacado,Campinas,19,1,2015,Caixa 20 kg,35.0,2015-01-19,-4.0,7.0
8022,Italiano - atacado,Campinas,21,1,2015,Caixa 20 kg,32.5,2015-01-21,-2.5,1.5
8023,Italiano - atacado,Campinas,23,1,2015,Caixa 20 kg,36.25,2015-01-23,3.75,6.25
8024,Italiano - atacado,Campinas,26,1,2015,Caixa 20 kg,35.0,2015-01-26,-1.25,-5.0
8025,Italiano - atacado,Campinas,28,1,2015,Caixa 20 kg,35.0,2015-01-28,0.0,1.25
8026,Italiano - atacado,Campinas,30,1,2015,Caixa 20 kg,54.0,2015-01-30,19.0,19.0
8027,Italiano - atacado,Campinas,2,2,2015,Caixa 20 kg,60.0,2015-02-02,6.0,-13.0
8028,Italiano - atacado,Campinas,4,2,2015,Caixa 20 kg,68.75,2015-02-04,8.75,2.75
8029,Italiano - atacado,Campinas,6,2,2015,Caixa 20 kg,75.0,2015-02-06,6.25,-2.5
8030,Italiano - atacado,Campinas,9,2,2015,Caixa 20 kg,65.0,2015-02-09,-10.0,-16.25
8031,Italiano - atacado,Campinas,11,2,2015,Caixa 20 kg,60.0,2015-02-11,-5.0,5.0
8032,Italiano - atacado,Campinas,13,2,2015,Caixa 20 kg,55.0,2015-02-13,-5.0,0.0
8033,Italiano - atacado,Campinas,20,2,2015,Caixa 20 kg,70.0,2015-02-20,15.0,20.0
8034,Italiano - atacado,Campinas,23,2,2015,Caixa 20 kg,60.0,2015-02-23,-10.0,-25.0
8035,Italiano - atacado,Campinas,25,2,2015,Caixa 20 kg,72.5,2015-02-25,12.5,22.5
8036,Italiano - atacado,Campinas,27,2,2015,Caixa 20 kg,75.0,2015-02-27,2.5,-10.0
8037,Italiano - atacado,Campinas,2,3,2015,Caixa 20 kg,61.25,2015-03-02,-13.75,-16.25
8038,Italiano - atacado,Campinas,4,3,2015,Caixa 20 kg,69.17,2015-03-04,7.920000000000002,21.67
8039,Italiano - atacado,Campinas,6,3,2015,Caixa 20 kg,65.0,2015-03-06,-4.170000000000002,-12.090000000000003
8040,Italiano - atacado,Campinas,9,3,2015,Caixa 20 kg,66.67,2015-03-09,1.6700000000000017,5.840000000000003
8041,Italiano - atacado,Campinas,11,3,2015,Caixa 20 kg,60.0,2015-03-11,-6.670000000000002,-8.340000000000003
8042,Italiano - atacado,Campinas,13,3,2015,Caixa 20 kg,60.0,2015-03-13,0.0,6.670000000000002
8043,Italiano - atacado,Campinas,18,3,2015,Caixa 20 kg,58.0,2015-03-18,-2.0,-2.0
8044,Italiano - atacado,Campinas,20,3,2015,Caixa 20 kg,75.0,2015-03-20,17.0,19.0
