,Produto,Região,Dia,Mês,Ano,Unidade,Preço,Data,Aumento,Aceleracao
4760,Salada longa vida AA - atacado,Campinas,2,1,2015,Caixa 20 kg,30.0,2015-01-02,,
4761,Salada longa vida AA - atacado,Campinas,5,1,2015,Caixa 20 kg,31.25,2015-01-05,1.25,
4762,Salada longa vida AA - atacado,Campinas,7,1,2015,Caixa 20 kg,40.0,2015-01-07,8.75,7.5
4763,Salada longa vida AA - atacado,Campinas,9,1,2015,Caixa 20 kg,50.0,2015-01-09,10.0,1.25
4764,Salada longa vida AA - atacado,Campinas,12,1,2015,Caixa 20 kg,55.0,2015-01-12,5.0,-5.0
4765,Salada longa vida AA - atacado,Campinas,14,1,2015,Caixa 20 kg,55.0,2015-01-14,0.0,-5.0
4766,Salada longa vida AA - atacado,Campinas,16,1,2015,Caixa 20 kg,38.0,2015-01-16,-17.0,-17.0
4767,Salada longa vida AA - atacado,Campinas,19,1,2015,Caixa 20 kg,33.33,2015-01-19,-4.670000000000002,12.329999999999998
4768,Salada longa vida AA - atacado,Campinas,21,1,2015,Caixa 20 kg,32.5,2015-01-21,-0.8299999999999983,3.8400000000000034
4769,Salada longa vida AA - atacado,Campinas,23,1,2015,Caixa 20 kg,35.0,2015-01-23,2.5,3.3299999999999983
4770,Salada longa vida AA - atacado,Campinas,26,1,2015,Caixa 20 kg,33.75,2015-01-26,-1.25,-3.75
4771,Salada longa vida AA - atacado,Campinas,28,1,2015,Caixa 20 kg,33.33,2015-01-28,-0.4200000000000017,0.8299999999999983
4772,Salada longa vida AA - atacado,Campinas,30,1,2015,Caixa 20 kg,47.0,2015-01-30,13.670000000000002,14.090000000000003
4773,Salada longa vida AA - atacado,Campinas,2,2,2015,Caixa 20 kg,57.5,2015-02-02,10.5,-3.1700000000000017
4774,Salada longa vida AA - atacado,Campinas,4,2,2015,Caixa 20 kg,68.75,2015-02-04,11.25,0.75
4775,Salada longa vida AA - atacado,Campinas,6,2,2015,Caixa 20 kg,70.71,2015-02-06,1.9599999999999937,-9.290000000000006
4776,Salada longa vida AA - atacado,Campinas,9,2,2015,Caixa 20 kg,56.67,2015-02-09,-14.039999999999992,-15.999999999999986
4777,Salada longa vida AA - atacado,Campinas,11,2,2015,Caixa 20 kg,55.0,2015-02-11,-1.6700000000000017,12.36999999999999
4778,Salada longa vida AA - atacado,Campinas,13,2,2015,Caixa 20 kg,55.0,2015-02-13,0.0,1.6700000000000017
4779,Salada longa vida AA - atacado,Campinas,20,2,2015,Caixa 20 kg,62.86,2015-02-20,7.859999999999999,7.859999999999999
4780,Salada longa vida AA - atacado,Campinas,23,2,2015,Caixa 20 kg,48.33,2015-02-23,-14.530000000000001,-22.39
4781,Salada longa vida AA - atacado,Campinas,25,2,2015,Caixa 20 kg,60.0,2015-02-25,11.670000000000002,26.200000000000003
4782,Salada longa vida AA - atacado,Campinas,27,2,2015,Caixa 20 kg,64.17,2015-02-27,4.170000000000002,-7.5
4783,Salada longa vida AA - atacado,Campinas,2,3,2015,Caixa 20 kg,59.17,2015-03-02,-5.0,-9.170000000000002
4784,Salada longa vida AA - atacado,Campinas,4,3,2015,Caixa 20 kg,58.0,2015-03-04,-1.1700000000000017,3.8299999999999983
4785,Salada longa vida AA - atacado,Campinas,6,3,2015,Caixa 20 kg,57.0,2015-03-06,-1.0,0.1700000000000017
4786,Salada longa vida AA - atacado,Campinas,9,3,2015,Caixa 20 kg,55.0,2015-03-09,-2.0,-1.0
4787,Salada longa vida AA - atacado,Campinas,11,3,2015,Caixa 20 kg,55.0,2015-03-11,0.0,2.0
4788,Salada longa vida AA - atacado,Campinas,13,3,2015,Caixa 20 kg,50.0,2015-03-13,-5.0,-5.0
4789,Salada longa vida AA - atacado,Campinas,16,3,2015,Caixa 20 kg,55.0,2015-03-16,5.0,10.0
4790,Salada longa vida AA - atacado,Campinas,18,3,2015,Caixa 20 kg,45.0,2015-03-18,-10.0,-15.0
4791,Salada longa vida AA - atacado,Campinas,20,3,2015,Caixa 20 kg,46.67,2015-03-20,1.6700000000000017,11.670000000000002
4792,Salada longa vida AA - atacado,Campinas,23,3,2015,Caixa 20 kg,50.0,2015-03-23,3.3299999999999983,1.6599999999999966
4793,Salada longa vida AA - atacado,Campinas,25,3,2015,Caixa 20 kg,50.0,2015-03-25,0.0,-3.3299999999999983
4794,Salada longa vida AA - atacado,Campinas,27,3,2015,Caixa 20 kg,56.67,2015-03-27,6.670000000000002,6.670000000000002
4795,Salada longa vida AA - atacado,Campinas,30,3,2015,Caixa 20 kg,72.5,2015-03-30,15.829999999999998,9.159999999999997
4796,Salada longa vida AA - atacado,Campinas,1,4,2015,Caixa 20 kg,72.5,2015-04-01,0.0,-15.829999999999998
4797,Salada longa vida AA - atacado,Campinas,6,4,2015,Caixa 20 kg,65.0,2015-04-06,-7.5,-7.5
4798,Salada longa vida AA - atacado,Campinas,8,4,2015,Caixa 20 kg,70.0,2015-04-08,5.0,12.5
4799,Salada longa vida AA - atacado,Campinas,10,4,2015,Caixa 20 kg,70.0,2015-04-10,0.0,-5.0
4800,Salada longa vida AA - atacado,Campinas,13,4,2015,Caixa 20 kg,70.0,2015-04-13,0.0,0.0
4801,Salada longa vida AA - atacado,Campinas,15,4,2015,Caixa 20 kg,65.0,2015-04-15,-5.0,-5.0
4802,Salada longa vida AA - atacado,Campinas,17,4,2015,Caixa 20 kg,72.0,2015-04-17,7.0,12.0
