,Produto,Região,Dia,Mês,Ano,Unidade,Preço,Data,Aumento,Aceleracao
27352,Italiano - atacado,São Paulo (capital),2,1,2015,Caixa 20 kg,32.0,2015-01-02,,
27353,Italiano - atacado,São Paulo (capital),5,1,2015,Caixa 20 kg,40.0,2015-01-05,8.0,
27354,Italiano - atacado,São Paulo (capital),6,1,2015,Caixa 20 kg,42.0,2015-01-06,2.0,-6.0
27355,Italiano - atacado,São Paulo (capital),7,1,2015,Caixa 20 kg,62.0,2015-01-07,20.0,18.0
27356,Italiano - atacado,São Paulo (capital),8,1,2015,Caixa 20 kg,50.63,2015-01-08,-11.369999999999997,-31.369999999999997
27357,Italiano - atacado,São Paulo (capital),9,1,2015,Caixa 20 kg,50.0,2015-01-09,-0.6300000000000026,10.739999999999995
27358,Italiano - atacado,São Paulo (capital),12,1,2015,Caixa 20 kg,65.0,2015-01-12,15.0,15.630000000000003
27359,Italiano - atacado,São Paulo (capital),13,1,2015,Caixa 20 kg,59.0,2015-01-13,-6.0,-21.0
27360,Italiano - atacado,São Paulo (capital),14,1,2015,Caixa 20 kg,50.71,2015-01-14,-8.29,-2.289999999999999
27361,Italiano - atacado,São Paulo (capital),15,1,2015,Caixa 20 kg,42.5,2015-01-15,-8.21,0.0799999999999983
27362,Italiano - atacado,São Paulo (capital),16,1,2015,Caixa 20 kg,40.83,2015-01-16,-1.6700000000000017,6.539999999999999
27363,Italiano - atacado,São Paulo (capital),19,1,2015,Caixa 20 kg,34.0,2015-01-19,-6.829999999999998,-5.159999999999997
27364,Italiano - atacado,São Paulo (capital),20,1,2015,Caixa 20 kg,30.0,2015-01-20,-4.0,2.8299999999999983
27365,Italiano - atacado,São Paulo (capital),21,1,2015,Caixa 20 kg,38.13,2015-01-21,8.130000000000003,12.130000000000003
27366,Italiano - atacado,São Paulo (capital),22,1,2015,Caixa 20 kg,40.0,2015-01-22,1.8699999999999974,-6.260000000000005
27367,Italiano - atacado,São Paulo (capital),23,1,2015,Caixa 20 kg,43.0,2015-01-23,3.0,1.1300000000000026
27368,Italiano - atacado,São Paulo (capital),26,1,2015,Caixa 20 kg,40.71,2015-01-26,-2.289999999999999,-5.289999999999999
27369,Italiano - atacado,São Paulo (capital),27,1,2015,Caixa 20 kg,32.5,2015-01-27,-8.21,-5.920000000000002
27370,Italiano - atacado,São Paulo (capital),28,1,2015,Caixa 20 kg,35.83,2015-01-28,3.3299999999999983,11.54
27371,Italiano - atacado,São Paulo (capital),29,1,2015,Caixa 20 kg,41.25,2015-01-29,5.420000000000002,2.0900000000000034
27372,Italiano - atacado,São Paulo (capital),30,1,2015,Caixa 20 kg,50.83,2015-01-30,9.579999999999998,4.159999999999997
27373,Italiano - atacado,São Paulo (capital),2,2,2015,Caixa 20 kg,61.43,2015-02-02,10.600000000000001,1.0200000000000031
27374,Italiano - atacado,São Paulo (capital),3,2,2015,Caixa 20 kg,70.0,2015-02-03,8.57,-2.030000000000001
27375,Italiano - atacado,São Paulo (capital),4,2,2015,Caixa 20 kg,83.33,2015-02-04,13.329999999999998,4.759999999999998
27376,Italiano - atacado,São Paulo (capital),5,2,2015,Caixa 20 kg,72.0,2015-02-05,-11.329999999999998,-24.659999999999997
27377,Italiano - atacado,São Paulo (capital),6,2,2015,Caixa 20 kg,64.29,2015-02-06,-7.709999999999994,3.6200000000000045
27378,Italiano - atacado,São Paulo (capital),9,2,2015,Caixa 20 kg,62.86,2015-02-09,-1.4300000000000068,6.279999999999987
27379,Italiano - atacado,São Paulo (capital),10,2,2015,Caixa 20 kg,62.86,2015-02-10,0.0,1.4300000000000068
27380,Italiano - atacado,São Paulo (capital),11,2,2015,Caixa 20 kg,66.67,2015-02-11,3.8100000000000023,3.8100000000000023
27381,Italiano - atacado,São Paulo (capital),12,2,2015,Caixa 20 kg,63.57,2015-02-12,-3.1000000000000014,-6.910000000000004
27382,Italiano - atacado,São Paulo (capital),13,2,2015,Caixa 20 kg,50.83,2015-02-13,-12.740000000000002,-9.64
27383,Italiano - atacado,São Paulo (capital),19,2,2015,Caixa 20 kg,66.67,2015-02-19,15.840000000000003,28.580000000000005
27384,Italiano - atacado,São Paulo (capital),20,2,2015,Caixa 20 kg,63.33,2015-02-20,-3.3400000000000034,-19.180000000000007
27385,Italiano - atacado,São Paulo (capital),23,2,2015,Caixa 20 kg,55.0,2015-02-23,-8.329999999999998,-4.989999999999995
27386,Italiano - atacado,São Paulo (capital),24,2,2015,Caixa 20 kg,69.0,2015-02-24,14.0,22.33
27387,Italiano - atacado,São Paulo (capital),25,2,2015,Caixa 20 kg,70.71,2015-02-25,1.7099999999999937,-12.290000000000006
27388,Italiano - atacado,São Paulo (capital),26,2,2015,Caixa 20 kg,68.33,2015-02-26,-2.3799999999999955,-4.089999999999989
27389,Italiano - atacado,São Paulo (capital),27,2,2015,Caixa 20 kg,68.33,2015-02-27,0.0,2.3799999999999955
27390,Italiano - atacado,São Paulo (capital),2,3,2015,Caixa 20 kg,72.5,2015-03-02,4.170000000000002,4.170000000000002
27391,Italiano - atacado,São Paulo (capital),3,3,2015,Caixa 20 kg,66.67,2015-03-03,-5.829999999999998,-10.0
27392,Italiano - atacado,São Paulo (capital),4,3,2015,Caixa 20 kg,67.0,2015-03-04,0.3299999999999983,6.159999999999997
27393,Italiano - atacado,São Paulo (capital),5,3,2015,Caixa 20 kg,58.0,2015-03-05,-9.0,-9.329999999999998
27394,Italiano - atacado,São Paulo (capital),6,3,2015,Caixa 20 kg,56.67,2015-03-06,-1.3299999999999983,7.670000000000002
27395,Italiano - atacado,São Paulo (capital),9,3,2015,Caixa 20 kg,63.33,2015-03-09,6.659999999999997,7.989999999999995
27396,Italiano - atacado,São Paulo (capital),10,3,2015,Caixa 20 kg,63.75,2015-03-10,0.4200000000000017,-6.239999999999995
27397,Italiano - atacado,São Paulo (capital),11,3,2015,Caixa 20 kg,68.33,2015-03-11,4.579999999999998,4.159999999999997
27398,Italiano - atacado,São Paulo (capital),12,3,2015,Caixa 20 kg,61.67,2015-03-12,-6.659999999999997,-11.239999999999995
27399,Italiano - atacado,São Paulo (capital),13,3,2015,Caixa 20 kg,64.29,2015-03-13,2.6200000000000045,9.280000000000001
27400,Italiano - atacado,São Paulo (capital),16,3,2015,Caixa 20 kg,62.86,2015-03-16,-1.4300000000000068,-4.050000000000011
27401,Italiano - atacado,São Paulo (capital),17,3,2015,Caixa 20 kg,66.0,2015-03-17,3.1400000000000006,4.570000000000007
27402,Italiano - atacado,São Paulo (capital),18,3,2015,Caixa 20 kg,52.0,2015-03-18,-14.0,-17.14
27403,Italiano - atacado,São Paulo (capital),19,3,2015,Caixa 20 kg,50.0,2015-03-19,-2.0,12.0
27404,Italiano - atacado,São Paulo (capital),20,3,2015,Caixa 20 kg,58.33,2015-03-20,8.329999999999998,10.329999999999998
27405,Italiano - atacado,São Paulo (capital),23,3,2015,Caixa 20 kg,55.0,2015-03-23,-3.3299999999999983,-11.659999999999997
27406,Italiano - atacado,São Paulo (capital),24,3,2015,Caixa 20 kg,57.5,2015-03-24,2.5,5.829999999999998
27407,Italiano - atacado,São Paulo (capital),25,3,2015,Caixa 20 kg,53.33,2015-03-25,-4.170000000000002,-6.670000000000002
27408,Italiano - atacado,São Paulo (capital),26,3,2015,Caixa 20 kg,56.67,2015-03-26,3.3400000000000034,7.510000000000005
27409,Italiano - atacado,São Paulo (capital),27,3,2015,Caixa 20 kg,72.5,2015-03-27,15.829999999999998,12.489999999999995
27410,Italiano - atacado,São Paulo (capital),30,3,2015,Caixa 20 kg,75.0,2015-03-30,2.5,-13.329999999999998
27411,Italiano - atacado,São Paulo (capital),31,3,2015,Caixa 20 kg,82.0,2015-03-31,7.0,4.5
27412,Italiano - atacado,São Paulo (capital),1,4,2015,Caixa 20 kg,103.33,2015-04-01,21.33,14.329999999999998
27413,Italiano - atacado,São Paulo (capital),2,4,2015,Caixa 20 kg,100.0,2015-04-02,-3.3299999999999983,-24.659999999999997
27414,Italiano - atacado,São Paulo (capital),6,4,2015,Caixa 20 kg,90.0,2015-04-06,-10.0,-6.670000000000002
27415,Italiano - atacado,São Paulo (capital),7,4,2015,Caixa 20 kg,82.5,2015-04-07,-7.5,2.5
27416,Italiano - atacado,São Paulo (capital),8,4,2015,Caixa 20 kg,86.0,2015-04-08,3.5,11.0
27417,Italiano - atacado,São Paulo (capital),9,4,2015,Caixa 20 kg,77.14,2015-04-09,-8.86,-12.36
27418,Italiano - atacado,São Paulo (capital),10,4,2015,Caixa 20 kg,71.67,2015-04-10,-5.469999999999999,3.3900000000000006
27419,Italiano - atacado,São Paulo (capital),13,4,2015,Caixa 20 kg,82.0,2015-04-13,10.329999999999998,15.799999999999997
27420,Italiano - atacado,São Paulo (capital),14,4,2015,Caixa 20 kg,88.33,2015-04-14,6.329999999999998,-4.0
27421,Italiano - atacado,São Paulo (capital),15,4,2015,Caixa 20 kg,85.0,2015-04-15,-3.3299999999999983,-9.659999999999997
27422,Italiano - atacado,São Paulo (capital),16,4,2015,Caixa 20 kg,86.67,2015-04-16,1.6700000000000017,5.0
27423,Italiano - atacado,São Paulo (capital),17,4,2015,Caixa 20 kg,90.0,2015-04-17,3.3299999999999983,1.6599999999999966
27424,Italiano - atacado,São Paulo (capital),20,4,2015,Caixa 20 kg,80.0,2015-04-20,-10.0,-13.329999999999998
27425,Italiano - atacado,São Paulo (capital),22,4,2015,Caixa 20 kg,72.0,2015-04-22,-8.0,2.0
27426,Italiano - atacado,São Paulo (capital),23,4,2015,Caixa 20 kg,72.0,2015-04-23,0.0,8.0
27427,Italiano - atacado,São Paulo (capital),24,4,2015,Caixa 20 kg,73.0,2015-04-24,1.0,1.0
27428,Italiano - atacado,São Paulo (capital),27,4,2015,Caixa 20 kg,70.0,2015-04-27,-3.0,-4.0
27429,Italiano - atacado,São Paulo (capital),28,4,2015,Caixa 20 kg,77.5,2015-04-28,7.5,10.5
27430,Italiano - atacado,São Paulo (capital),29,4,2015,Caixa 20 kg,63.57,2015-04-29,-13.93,-21.43
27431,Italiano - atacado,São Paulo (capital),30,4,2015,Caixa 20 kg,76.0,2015-04-30,12.43,26.36
27432,Italiano - atacado,São Paulo (capital),4,5,2015,Caixa 20 kg,94.29,2015-05-04,18.290000000000006,5.8600000000000065
27433,Italiano - atacado,São Paulo (capital),5,5,2015,Caixa 20 kg,95.71,2015-05-05,1.4199999999999875,-16.87000000000002
27434,Italiano - atacado,São Paulo (capital),6,5,2015,Caixa 20 kg,113.33,2015-05-06,17.620000000000005,16.200000000000017
27435,Italiano - atacado,São Paulo (capital),7,5,2015,Caixa 20 kg,108.0,2015-05-07,-5.329999999999998,-22.950000000000003
27436,Italiano - atacado,São Paulo (capital),8,5,2015,Caixa 20 kg,110.0,2015-05-08,2.0,7.329999999999998
27437,Italiano - atacado,São Paulo (capital),11,5,2015,Caixa 20 kg,101.67,2015-05-11,-8.329999999999998,-10.329999999999998
27438,Italiano - atacado,São Paulo (capital),12,5,2015,Caixa 20 kg,95.0,2015-05-12,-6.670000000000002,1.6599999999999966
27439,Italiano - atacado,São Paulo (capital),13,5,2015,Caixa 20 kg,95.0,2015-05-13,0.0,6.670000000000002
27440,Italiano - atacado,São Paulo (capital),14,5,2015,Caixa 20 kg,95.0,2015-05-14,0.0,0.0
27441,Italiano - atacado,São Paulo (capital),15,5,2015,Caixa 20 kg,98.0,2015-05-15,3.0,3.0
27442,Italiano - atacado,São Paulo (capital),18,5,2015,Caixa 20 kg,96.0,2015-05-18,-2.0,-5.0
