,Produto,Região,Dia,Mês,Ano,Unidade,Preço,Data,Aumento,Aceleracao
22583,Salada longa vida AA - atacado,São Paulo (capital),2,1,2015,Caixa 20 kg,31.38,2015-01-02,,
22584,Salada longa vida AA - atacado,São Paulo (capital),5,1,2015,Caixa 20 kg,36.5,2015-01-05,5.120000000000001,
22585,Salada longa vida AA - atacado,São Paulo (capital),6,1,2015,Caixa 20 kg,40.0,2015-01-06,3.5,-1.620000000000001
22586,Salada longa vida AA - atacado,São Paulo (capital),7,1,2015,Caixa 20 kg,56.0,2015-01-07,16.0,12.5
22587,Salada longa vida AA - atacado,São Paulo (capital),8,1,2015,Caixa 20 kg,46.43,2015-01-08,-9.57,-25.57
22588,Salada longa vida AA - atacado,São Paulo (capital),9,1,2015,Caixa 20 kg,46.43,2015-01-09,0.0,9.57
22589,Salada longa vida AA - atacado,São Paulo (capital),12,1,2015,Caixa 20 kg,63.33,2015-01-12,16.9,16.9
22590,Salada longa vida AA - atacado,São Paulo (capital),13,1,2015,Caixa 20 kg,53.75,2015-01-13,-9.579999999999998,-26.479999999999997
22591,Salada longa vida AA - atacado,São Paulo (capital),14,1,2015,Caixa 20 kg,47.5,2015-01-14,-6.25,3.3299999999999983
22592,Salada longa vida AA - atacado,São Paulo (capital),15,1,2015,Caixa 20 kg,39.0,2015-01-15,-8.5,-2.25
22593,Salada longa vida AA - atacado,São Paulo (capital),16,1,2015,Caixa 20 kg,36.67,2015-01-16,-2.3299999999999983,6.170000000000002
22594,Salada longa vida AA - atacado,São Paulo (capital),19,1,2015,Caixa 20 kg,30.0,2015-01-19,-6.670000000000002,-4.340000000000003
22595,Salada longa vida AA - atacado,São Paulo (capital),20,1,2015,Caixa 20 kg,27.5,2015-01-20,-2.5,4.170000000000002
22596,Salada longa vida AA - atacado,São Paulo (capital),21,1,2015,Caixa 20 kg,35.0,2015-01-21,7.5,10.0
22597,Salada longa vida AA - atacado,São Paulo (capital),22,1,2015,Caixa 20 kg,33.75,2015-01-22,-1.25,-8.75
22598,Salada longa vida AA - atacado,São Paulo (capital),23,1,2015,Caixa 20 kg,41.25,2015-01-23,7.5,8.75
22599,Salada longa vida AA - atacado,São Paulo (capital),26,1,2015,Caixa 20 kg,36.43,2015-01-26,-4.82,-12.32
22600,Salada longa vida AA - atacado,São Paulo (capital),27,1,2015,Caixa 20 kg,28.75,2015-01-27,-7.68,-2.8599999999999994
22601,Salada longa vida AA - atacado,São Paulo (capital),28,1,2015,Caixa 20 kg,34.17,2015-01-28,5.420000000000002,13.100000000000001
22602,Salada longa vida AA - atacado,São Paulo (capital),29,1,2015,Caixa 20 kg,36.25,2015-01-29,2.0799999999999983,-3.3400000000000034
